rank,participant,C1,C2,C3,C4,C5,C6,score
1,Метод Лаб,25,18,20,15,8,10,96
2,Пятый фактор,23,20,19,11,10,10,93
3,Intaro,25,15,20,15,10,6,91
4,ИНТЕРВОЛГА,24,13,19,15,10,8,89
5,Ecomtools,23,17,19,15,8,6,88
6,GROTEM,25,9,20,15,10,7,86
7,KISLOROD,23,13,19,15,10,5,85
8,Braind,22,14,18,15,8,5,82
9,ITSumma,23,7,18,15,10,7,80
10,Тест-сервис,22,13,14,9,10,10,78
11,Интернет Системы,22,19,19,5,5,7,77
12,OpenStart,22,18,18,6,5,7,76
13,Битроид,21,18,18,4,6,8,75
14,STTE,20,20,17,2,7,6,72
15,WebStudiy,17,20,16,2,7,7,69
